id,label,path,module,access,document,map,component,source_sha256,api_calls
11,Flotta noleggio,/noleggio,noleggio,authenticated,03_PAGINE/11-noleggio-flotta.md,03_PAGINE/MAPPE_JSON/noleggio-flotta.json,frontend/src/pages/NoleggioAuto.jsx,e195adc1f54357b4b8fbdc4f96f0a09d7bd7e0baa5a320a7a6b854bfa47686f2,11
12,Verbali noleggio,/noleggio/verbali,noleggio,authenticated,03_PAGINE/12-noleggio-verbali.md,03_PAGINE/MAPPE_JSON/noleggio-verbali.json,frontend/src/pages/VerbaliRiconciliazione.jsx,111954e69ad2216a9399131a9e46adc75d4cd3795f38c35c950813d689ede030,17
13,Costi noleggio,/noleggio/costi,noleggio,authenticated,03_PAGINE/13-noleggio-costi.md,03_PAGINE/MAPPE_JSON/noleggio-costi.json,frontend/src/pages/hub/VeicoliHub.jsx,6f901118f41690c36e30496609552a4d4b9ae339d7074edace11ce06b05f4361,0
14,Dettaglio verbale,/verbali-noleggio/:identificativo,noleggio,authenticated,03_PAGINE/14-dettaglio-verbale.md,03_PAGINE/MAPPE_JSON/dettaglio-verbale.json,frontend/src/pages/DettaglioVerbale.jsx,f9574e53d4a5c1c686085b6b02055c529b6f4e557796c871a160bd510ac5a06e,7
15,Piano dei Conti,/contabilita,contabilita,authenticated,03_PAGINE/15-contabilita-piano-conti.md,03_PAGINE/MAPPE_JSON/contabilita-piano-conti.json,frontend/src/pages/PianoDeiConti.jsx,e4bc87a3978622b42b4d63f052e51711364b62d21b6c450cac3b6073e2cd9146,7
16,Bilancio,/contabilita/bilancio,contabilita,authenticated,03_PAGINE/16-contabilita-bilancio.md,03_PAGINE/MAPPE_JSON/contabilita-bilancio.json,frontend/src/pages/Bilancio.jsx,cecfdd749d432688e1d660fd9efe80f06d77b029f295940cff595f57e556d61a,7
17,Verifica Bilancio,/contabilita/verifica,contabilita,authenticated,03_PAGINE/17-contabilita-verifica.md,03_PAGINE/MAPPE_JSON/contabilita-verifica.json,frontend/src/pages/BilancioVerifica.jsx,5c61a9049c43867b403291200e7328fbd04fc039224ca1469d6f3394d3ad1b0b,1
18,Libro Giornale,/contabilita/giornale,contabilita,authenticated,03_PAGINE/18-contabilita-giornale.md,03_PAGINE/MAPPE_JSON/contabilita-giornale.json,frontend/src/pages/LibroGiornale.jsx,80f55fb15359a4f3952860cb3077d20033c524b570986a8a316550857fdedca5,3
19,Controllo mensile,/contabilita/controllo,contabilita,authenticated,03_PAGINE/19-contabilita-controllo.md,03_PAGINE/MAPPE_JSON/contabilita-controllo.json,frontend/src/pages/ControlloMensile.jsx,32473c3ed97a777652bd072da44400f9fc90136ccac01eb4476abdc146ef2d70,5
20,Calendario fiscale,/contabilita/calendario,contabilita,authenticated,03_PAGINE/20-contabilita-calendario.md,03_PAGINE/MAPPE_JSON/contabilita-calendario.json,frontend/src/pages/CalendarioFiscale.jsx,3ea47c886d9195f4b49a9e71e5e3eb262526d2f66b4a5f2c42a0b034ae3d82a6,5
21,Cespiti,/contabilita/cespiti,contabilita,authenticated,03_PAGINE/21-contabilita-cespiti.md,03_PAGINE/MAPPE_JSON/contabilita-cespiti.json,frontend/src/pages/GestioneCespiti.jsx,f217ed4c58ed7ab2c447b79f284fce3773633a9069510b6ee27db34615e583ca,8
22,Finanziaria,/contabilita/finanziaria,contabilita,authenticated,03_PAGINE/22-contabilita-finanziaria.md,03_PAGINE/MAPPE_JSON/contabilita-finanziaria.json,frontend/src/pages/Finanziaria.jsx,5e4f2e20c69f5ffe503877377236b6e7b9e4c3af97312b59232add847106296b,1
23,Chiusura esercizio,/contabilita/chiusura,contabilita,authenticated,03_PAGINE/23-contabilita-chiusura.md,03_PAGINE/MAPPE_JSON/contabilita-chiusura.json,frontend/src/pages/ChiusuraEsercizio.jsx,a15a3f82d6c450f15f90e9c01887840fee80d30c89e415baabf7f275e3ef7f14,6
24,Budget,/contabilita/budget,contabilita,authenticated,03_PAGINE/24-contabilita-budget.md,03_PAGINE/MAPPE_JSON/contabilita-budget.json,frontend/src/pages/BudgetPrevisionale.jsx,1903e28d08fc29486cf3764ca47d1c4041616ff5c75acbb60bd44b2fd37a0e54,5
25,Mutui,/contabilita/mutui,contabilita,authenticated,03_PAGINE/25-contabilita-mutui.md,03_PAGINE/MAPPE_JSON/contabilita-mutui.json,frontend/src/pages/Mutui.jsx,462fce8cf8e7f546b23ee7cfaf9a91b2d4dc67aa7b6c4e34c527fe81f1a9e8cc,3
26,Contabilita avanzata,/contabilita/avanzata,contabilita,authenticated,03_PAGINE/26-contabilita-avanzata.md,03_PAGINE/MAPPE_JSON/contabilita-avanzata.json,frontend/src/pages/ContabilitaAvanzata.jsx,03ee44d3deea2f590abc9944544495041e40ace07bd313550cb20c066687962b,4
27,Utile obiettivo,/contabilita/utile,contabilita,authenticated,03_PAGINE/27-contabilita-utile.md,03_PAGINE/MAPPE_JSON/contabilita-utile.json,frontend/src/pages/UtileObiettivo.jsx,853e54d49160af4e7fd490adfe88e569b39751cafa7fc3bb5afcfc8d8a703a4f,2
28,Previsioni acquisti,/contabilita/previsioni-acquisti,contabilita,authenticated,03_PAGINE/28-contabilita-previsioni-acquisti.md,03_PAGINE/MAPPE_JSON/contabilita-previsioni-acquisti.json,frontend/src/pages/PrevisioniAcquisti.jsx,037342877b4f34bd0691e3e21107dc38472e82f4b9a5fc66c3261d14b1ca0181,3
29,Learning Machine,/learning-machine,strumenti,authenticated,03_PAGINE/29-learning-machine.md,03_PAGINE/MAPPE_JSON/learning-machine.json,frontend/src/pages/LearningMachine.jsx,db885a0507b8cfff147ea3b5879c3707d3aba3476a40ba89356b2da8bc833bcb,25
